code,name,city,country
AAA,Anaa,,PF
AAB,Arrabury Airport,Tanbar,AU
AAC,El Arish International Airport,Arish,EG
AAD,Adado Airport,Adado,SO
AAE,Les Salines Airport,El Hadjar,DZ
AAF,Apalachicola Regional,Apalachicola,US
AAG,Arapoti,Jaguariaiva,BR
AAH,Aachen/Merzbruck,,DE
AAI,Arraias,Campos Belos,BR
AAJ,Cayana Airstrip,Kajana,SR
AAK,Aranuka,,KI
AAL,Aalborg Airport,Vadum,DK
AAM,Mala Mala,,ZA
AAN,Al Ain Airport,,AE
AAO,Anaco,Anaco,VE
AAP,Andrau Airpark,,US
AAQ,Anapa Airport,Anapa,RU
AAR,Aarhus Airport,Ebeltoft,DK
AAS,Apalapsili,,ID
AAT,Altay Airport,Awiytan,CN
AAU,Asau,Asau,WS
AAV,Allah Valley,Surallah,PH
AAW,Abbottabad,Abbottabad,PK
AAX,Araxa Airport,Araxa,BR
AAY,Al Ghaydah,Al Ghayzah,YE
AAZ,Quetzaltenango,Olintepeque,GT
ABA,Abakan Airport,Podsineye,RU
ABB,Asaba International Airport,Asaba,NG
ABC,Los Llanos,,ES
ABD,Abadan Airport,Abadan,IR
ABE,Lehigh Valley International Airport,Catasauqua,US
ABF,Abaiang,Buota Village,KI
ABG,Abingdon,,AU
ABH,Alpha,,AU
ABI,Abilene Regional Airport,,US
ABJ,Felix Houphouet Boigny Airport,Abidjan,CI
ABK,Kabri Dar,,ET
ABL,Ambler Airport,,US
ABM,Northern Peninsula Airport,,AU
ABN,Albina,,SR
ABO,Aboisso,Aboisso,CI
ABP,Atkamba,,PG
ABQ,Albuquerque International Sunport,Albuquerque,US
ABR,Aberdeen Municipal Airport,Aberdeen,US
ABS,Abu Simbel,,EG
ABT,Al-Aqiq Airport,Al Bahah,SA
ABU,Haliwen Airport,Atambua,ID
ABV,Nnamdi Azikiwe International Airport,Madala,NG
ABW,Abau,,PG
ABX,Albury Airport,East Albury,AU
ABY,Southwest Georgia Regional Airport,,US
ABZ,Aberdeen International Airport,Dyce,GB
ACA,Acapulco International Airport,10 de Abril,MX
ACB,Antrim County,Bellaire,US
ACC,Kotoka International Airport,Accra,GH
ACD,Acandi,,CO
ACE,Lanzarote Airport,Tias,ES
ACF,Alaer Talimu Airport,Aral,CN
ACH,Altenrhein Airport,Rheineck,CH
ACI,Alderney Airport,Beaumont-Hague,GB
ACJ,Anuradhapura,Anuradhapura,LK
ACK,Nantucket Memorial Airport,Nantucket,US
ACL,Aguaclara,Sabanalarga,CO
ACM,Arica,Pebas,CO
ACN,International,,MX
ACO,Cobano Airport,Cobano,CR
ACP,Sahand,Bonab,IR
ACR,Araracuara,,CO
ACS,Achinsk,Achinsk,RU
ACT,Waco Municipal Airport,Gholson,US
ACU,Achutupo,Portobelo,PA
ACV,Arcata-Eureka Airport,McKinleyville,US
ACX,Xingyi Airport,Xinzhou,CN
ACY,Atlantic City International Airport,Pomona,US
